,followers,twitter
0,1022,ElmuNFT
1,6302,Cloneverse_NFT
2,5336,SneakyBearsClub
3,26500,CelestialsETH
4,1653,MoonKitties1
5,12300,sabastian
6,1875,weirdmedicology
7,28200,TheCyberLegends
8,4881,DogeChampions
9,50100,MetaSaviors
10,6327,themetaskulls
11,1240,HumanoidsK218b
12,1617,FIyingSquirrels
13,9269,seahorsekingdom
14,6002,spacewalker_nft
15,8306,EhecatlDragons
16,2739,theassemblynft
17,13300,cunningWolfNFT
18,1818,DumpsterDorks
19,22700,Cybernitesnft
20,1985,MetaMogulsNFT
21,10600,munchiesnft
22,2291,metaskeletons
23,9551,Boujeeleopards
24,5911,walliancenft?s=21
25,3112,AbominableBunch
26,4473,ddolphinsnft
27,10200,BlackSheepSCNFT
28,1482,HighRollersccc
29,16000,otakuoriginsnft
30,5868,gatorraidnft?s=21
31,7450,spacenftdotgame
32,2546,BitMermaidnft
33,5239,metaversityluis
34,13200,metacolony_nft
35,8951,roguefoxguild
36,3840,ClubChipmunk
37,1286,grottopengos
38,846,NftGroovy
39,1248,CyberRooms
40,24300,CallOfMeta_NFT
41,790,deftlydragons
42,5746,orangutanCC
43,6104,kongdo_club
44,11000,SocialZombie
45,4837,wildherdnft
46,7106,squirrel_wallet
47,5884,meta_birds
48,24200,afkalienclub
49,9523,TheChromaWorld
50,1918,ggmnft
51,25500,MetaFriendsNFT
52,4188,optimum_cash
53,8352,NobleThieves
54,3080,BaeApes
55,6133,DivineDragonNFT
56,12100,solettersnft
57,26300,Ether_Daddy
58,3830,felinefrens
59,4001,BadKidz_NFT
60,32900,CWCNFT
61,4414,MonsterMatesAU
62,3505,HappyClownNFT
63,2785,acidapesnft
64,2110,apefellaz
65,13400,SavageWolvesNFT
66,2265,DeadDinoWorld
67,2383,BugSquadNFT
68,21000,GCBClub
69,26700,CosmosKidzNFT
70,1705,SeeDo_NFT
71,5155,HolyShxxtNFT
72,23500,DarkCloudsNFT
73,2757,KurodaClub
74,2759,richapecarclub
75,1919,scribbleapes
76,6475,anonmodenft
77,12200,bbvsea
78,10300,CryptoWarsNFT 
79,11300,NFTGeisha
80,2435,LDPS_NFT
81,9394,CryptoRapperz
82,29900,realapeclub
83,4279,CyberBloks
84,45800,shibelon_moon
85,727,ChillinApeSC
86,3066,HazeMonkeyNFT
87,16300,metakings_nft
88,4618,GFsNFT
89,1290,dfans_nft
90,1194,TopManagerNFT
91,11300,NFTGeisha
92,1042,AlienInvaderz7
93,5996,metamonkeysnfts
94,9074,GenericHeroes
95,891,OfficeMunchkins
96,3035,TaterHeadsMeta
97,3763,RubiCubeNFT
98,2347,UrbanDesiWomen
99,2229,mekafight
100,1778,CoolPenguinSqd
101,6722,GallantToken
102,914,SYLCNFT
103,3284,SpaceNerd_Off
104,8782,metahermia
105,90700,xionfinance
106,8212,ancient_deers
107,1270,BoombazNFT_
108,10500,Calcium4Bones
109,1342,bigfatcatsnft
110,3203,cryptocrimeclub
111,2175,FarmFrensNFT
112,2787,bapesnft
113,38600,torix_nft
114,5184,famousapeposse
115,2259,MillionaireMNKY
116,17400,paladin_penguin
117,3625,acsnft
118,23600,ChefBoiRDoge
119,9254,the_wonderbag_
120,9749,youngapeclubnft
121,14400,explodinghc
122,2882,unifriendsNFT
123,4175,KrazyKarensNFT
124,2785,_DracoNFT
125,616,BullsIncNFTs
126,4992,puppytakeover
127,4962,thelemuriansnft
128,21500,1athstudio
129,2245,_UnsignedArtist
130,2894,TiptoePunks
131,5660,BattleVikingNFT
132,1245,Oxtazy_xyz
133,6802,TurtlesDistrict
134,8074,TemboGuardians
135,12400,sigmadaos
136,6809,Skyscraper_NFT
137,5763,TheHolyOnesNFT
138,11400,robofrens
139,1608,Xenopetsnft
140,1095,0xMetaSquad
141,8905,TYGRNFT
142,3470,HappySolHippos
143,14400,prototype5656
144,7309,RebelTigerClub
145,15200,BrutalBearsNFT
146,2045,ChroniclesNFT
147,3618,EyeRollUncle
148,4326,PotatoPimpsNFT
149,1053,Blobbolution
150,3222,BoltandKnuckle
151,100400,synesis_one
152,2444,DragonsArena_io
153,3261,zombinomyNFT
154,408,BKBNFT
155,19000,Louznft
156,7507,MonkeyBus_Nft
157,1113,0xAnonymousNFT
158,25100,metapharaohsNFT
159,2075,omegaorcs
160,4758,TheMandrillz
161,487,Doodlespunks
162,2777,UniPreds
163,18500,hmkclub
164,447,ShovelHub
165,4062,LCAlpha
166,14700,antiapeassc
167,3086,GivingBulls
168,3659,ETHomesNFT
169,9957,graffitibears
170,3617,solbloks
171,1862,MetaGestation
172,1978,YearoftheWoman_
173,1994,dopeheadsnft
174,480,metamutantsclub
175,5273,bulbbers
176,6520,whales_nft
177,4116,soldiamondheads
178,3002,fortuna_dao
179,10800,founderbricks
180,3579,Project1776NFT
181,8657,fudaoverse
182,1121,ggiraffeclub
183,1075,Hiros_io
184,1393,kangaroomobnft
185,2812,LepLegends
186,6427,meetbob_nft
187,8984,cryptoceanart
188,6284,Oxmose_NFT
189,33300,ShibaBeast_nft
190,2789,SpaceConvicts
191,1126,SpaceCowsIO
