,discord,online_members,total_members
0,2z5PpXsS2K,104,16457
1,thecryptomasks,308,3338
2,shukunanft,1106,6572
3,playlore,707,4521
4,McphYRHMTA,1345,13394
5,TVc7Cp9tU8,9,62
6,m9tDVzAXDS,2249,9321
7,n9mqgse4VZ,13007,145244
8,,211,5294
9,yellowfames,434,12134
10,wTZc9yCYRA,185,6685
11,nWwFTNRtjP,218,3558
12,7X9D4STbVe,1107,3934
13,Cj42Smu9Q5,13,512
14,imaginaryballs,92,932
15,6nkDMCEWWV,1173,7527
16,qzZ3SpDVUU,206,1523
17,82TKe2swvZ,698,3764
18,4fvpfeqah4 ,214,1976
19,adeEYRAbmy,1055,4687
20,chihuahuarevenge,557,3203
21,adeEYRAbmy,1055,4687
22,jDAqpjxs79,429,6510
23,fbsXxBaKCm,25,405
24,HPRy95aJ2r,943,8884
25,ywW8xDHMvU,84,995
26,YaZ5RQ8987,10,34
27,7S34fQsMpT,60,272
28,wastedwhales,2096,17963
29,deadapezisland,780,7872
30,ACDealerNFT,3101,11907
31,MwM8P8MrSR,12,83
32,7HRyXby2XA,796,3302
33,zgwEF99Xnw,46,281
34,akuevQHj4x,423,2215
35,mutanthamsters,1174,5313
36,nohesi,565,4438
37,WZWbbt5vax,2156,13529
38,medicatedmice,1766,21592
39,uzJDcMTRDk,1148,4712
40,hJdaWqgUX8,620,707
41,3A7dj5wtDq,62,1466
42,sg8VWbmZaK,594,2251
43,KV6qcHmahZ,1347,14218
44,KbSfMYuMZ2,469,4413
45,creativefriendz,665,2821
46,FC5NPYDeZk,1296,15496
47,ZUCyVxygBc,133,1787
48,PQ5fdTn7hH,126,1290
49,jbas,1847,13812
50,sadboysclub,179,2764
51,v8TxkDrMKj,2080,15022
52,magiccraftgame,926,15595
53,bU6wTaAhB8,385,26041
54,moonwalkers ,3594,30486
55,cheebs,380,5310
56,RMhMSUkEKs,1500,8214
57,9talesNFT,5570,22607
58,PR7r8WEd5K,88,714
59,phATapAshn,735,3660
60,AVXkRckW9g,2039,8642
61,dRbdWvTYYh,2272,13332
62,demions,526,1897
63,cthulhuarmageddon2022,2608,14816
64,cbgPRy2gWZ,20,390
65,3GDer75Rxq,163,515
66,p8t7bgKzsy,297,5675
67,s6Ukq6eU4C ,564,5900
68,squidacademy,533,9728
69,kickflipnft,2192,9244
70,Uby6HDRRkX,613,4602
71,boredapearmyclub,75,617
72,fMP3eQXBGa,730,6918
73,4MQqef5mnc,780,3711
74,drsniffynft,401,6327
75,None,33,21515
76,yvRjRrvkMB,144,3202
77,planetbb01,1520,7085
78,XunMQBW77z,1590,7114
79,reseau,8853,80932
80,MetaVolution,3023,10649
81,labyrinthine,141,1726
82,282sbZnFkQ,167,3653
83,R672ejVg6m,7,18
84,her-nft,344,1267
85,Zt4wqQPqfR,7,45
86,ptU4uStCC2,36,860
87,QeR9yvSWvk,178,3533
88,4rNUQ2kPHy,28,101
89,KjGwHf4pZr,221,8420
90,qA3d5a5BWQ,113,758
91,raxn6h9vy5,113,4589
92,2yTCzKsDfd,3467,18192
93,r6QeuHPdG8,203,734
94,FWVhP6vKy6,385,11082
95,KW6BMJm2B9,19,513
96,65wSm9GaWb,12,349
97,qZbBS9CfQc,308,803
98,CR3E3YEvUF,134,2677
99,monkchains,2331,19930
100,bQV945JY6y,27,371
101,cityofgold,857,17608
102,5F9FAuR5GC,153,2035
103,MPbB7EjBEW,18,681
104,DUcbbFgMBW,448,1508
105,bPyEMSG84A,71,1347
106,tJBKzVfvBK,346,1364
107,denizen,425,1922
108,mXkAttjYey,58,1597
109,glodyknights,212,2192
110,edxbX5aMM7,266,937
111,cyberzillaz,587,2899
112,dFRKMM6P3Q,150,2616
113,mkVcDGn2e9,189,2082
114,CGmAuACtRh,278,1410
115,z7HFNAJkeY,9,319
116,fkBZKdARga,77,2425
117,PkardUkwKZ,535,4222
118,FUbrVEFxds,1288,40841
119,zelenskiynft,201,6246
120,caverncores,17,68
121,T6ZeUpxjTU,482,7601
122,55EgnjPCgH,36,137
123,DmZSshnct4,6,302
124,npp3PZKyp5,462,9305
125,DNyaK3CrJ7,11,101
126,FAA65MbNpg,10,320
127,4bfvEMKSDE,275,3240
128,GAJPfv5Vpu,9,308
129,np9RfYyc37,14,2007
130,nUWhtExCkw,39,1724
131,976DrsZtk7,26,2143
132,eAgqaA9Rrn,308,8569
133,DEUCEfwECY,15,58
134,8B3edNHw,1186,11317
135,dribblie,1286,19924
136,P4DscBhgZp,63,2363
137,wEznPag4eD,19,46
138,tusnft,62,2180
139,poc-nft,1753,21935
140,rjsz6sKz63,16,357
141,7PaBK6BbAj,41,727
142,4GYvvreWKm,308,1027
143,VpTqJ9a9h7,118,1114
144,CeYnqPgjnq,16,4589
145,7v3m8WDNh9,236,3039
146,nftsumantria,5419,32590
147,HrAeKG2YXM,83,1533
148,9SCjU4jqrJ,300,1289
149,hbkRgEczBw,29,383
150,KkQs93WHRK,38,478
151,gnRxTPV4px,5,35
152,hvu3MBeTjN,100,2016
153,VXdgAJkHDE,70,1304
154,WPvBWbFB2C,61,1169
155,UKrhGketaN,33,137
156,vK9eJsVTE8,25,400
157,k4DDhzY23a,8,27
158,SB5vhNjF9D,122,258
159,nuUsk8JaH9,7,12
160,dWtHVszbMe,86,489
161,txpmdx3Fny,12,106
162,bRXKgVdBHU,23,290
163,bjMj23bFZQ,167,1386
164,VDdk4YdRgH,107,4373
165,tycoontigersclub,200,1219
166,95rV9UEtX2,362,3413
167,Z6f8ZkKy83,2599,10908
168,MdjqPSHj6X,40,1069
169,qpNedkn4D5,43,1323
170,HOTM,187,5781
171,5QGBX95Evh,32,1105
172,STM884WwCu,1,13
173,JSZnasaa7p,347,4497
